Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.2,desc,hotel,hotel-area,Non-mapping,Categorical,0.773060227889311,0.3727034120734908,0.2679245283018868,0.6120689655172413
v2.2,desc,train,train-arriveby,Non-mapping,Non-categorical,0.8244709712425393,0.5680907877169559,0.5050445103857567,0.6491228070175439
v2.2,desc,train,train-departure,Mapping,Categorical,0.9000271296798698,0.864993588569335,0.7930802821632515,0.951248992747784
v2.2,desc,train,train-day,Non-mapping,Categorical,0.8878187737384698,0.8253431890179512,0.7894949494949495,0.8646017699115044
v2.2,desc,train,train-bookpeople,Mapping,Categorical,0.6752577319587629,0.4551661356395083,0.3040437823046518,0.9049773755656108
v2.2,desc,train,train-leaveat,Non-mapping,Non-categorical,0.7803852414541509,0.4587094617184888,0.3271340009537434,0.767337807606264
v2.2,desc,train,train-destination,Mapping,Categorical,0.8071079761258817,0.7520055807464249,0.6499849261380766,0.8920148944973108
v2.2,desc,attraction,attraction-area,Non-mapping,Categorical,0.7973412913727618,0.3593481989708404,0.4923619271445358,0.2829169480081026
v2.2,desc,attraction,attraction-name,Mapping,Non-categorical,0.8171459576776994,0.0,0.0,0.0
v2.2,desc,attraction,attraction-type,Mapping,Categorical,0.8440043407487792,0.5839363241678726,0.6265527950310559,0.5467479674796748
v2.2,desc,restaurant,restaurant-pricerange,Mapping,Categorical,0.856348345089528,0.7335849056603774,0.586484312148029,0.9791806581598388
v2.2,desc,restaurant,restaurant-area,Non-mapping,Categorical,0.8107704829083017,0.6673026472692584,0.5287226001511716,0.9043309631544926
v2.2,desc,restaurant,restaurant-food,Mapping,Non-categorical,0.7634291915355399,0.4821852731591449,0.3235059760956175,0.9463869463869464
v2.2,desc,restaurant,restaurant-name,Mapping,Non-categorical,0.7181226261530114,0.2546628407460545,0.1488469601677149,0.8808933002481389
v2.2,desc,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9485892566467716,0.8566023458191447,0.7764060356652949,0.9552742616033756
v2.2,desc,restaurant,restaurant-bookpeople,Mapping,Categorical,0.7947639717851329,0.6193710691823899,0.4619136960600375,0.9396946564885496
v2.2,desc,restaurant,restaurant-booktime,Mapping,Non-categorical,0.8463103635377103,0.6830769230769231,0.5209044368600683,0.991876523151909
v2.2,desc,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.9599837221920782,0.6651532349602722,0.5017123287671232,0.9865319865319864
v2.2,desc,taxi,taxi-destination,Mapping,Non-categorical,0.9211882799782962,0.242503259452412,0.1565656565656565,0.5375722543352601
